2014-09-24,PPTV,tt1800246,That Awkward Moment,2014,"Zac Efron, Michael B. Jordan, Miles Teller","Three best friends find themselves where we've all been - at that confusing moment in every dating relationship when you have to decide ""So...where is this going?"""
2014-10-19,Cinema,tt2015381,Guardians of the Galaxy,2014,"Chris Pratt, Vin Diesel, Bradley Cooper",A group of space criminals must work together to stop the fanatical villain Ronan the Accuser from destroying the galaxy.
2014-11-15,PPTV,tt0455760,Dead Silence,2007,"Ryan Kwanten, Amber Valletta, Donnie Wahlberg","A widower returns to his hometown to search for answers to his wife's murder, which may be linked to the ghost of a murdered ventriloquist."
2014-11-28,Pearl,tt1564367,Just Go With It,2011,"Adam Sandler, Jennifer Aniston, Brooklyn Decker","On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend."
2014-11-29,Pearl,tt1323594,Despicable Me,2010,"Steve Carell, Jason Segel, Russell Brand","When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better."
2014-11-30,Pearl,tt1637688,In Time,2011,"Justin Timberlake, Amanda Seyfried, Cillian Murphy","In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system."
2014-12-05,Pearl,tt1499658,Horrible Bosses,2011,"Jason Bateman, Charlie Day, Jason Sudeikis",Three friends conspire to murder their awful bosses when they realize they are standing in the way of their happiness.
2014-12-06,Pearl,tt1389137,We Bought a Zoo,2011,"Matt Damon, Scarlett Johansson, Thomas Haden Church","Set in Southern California, a father moves his young family to the countryside to renovate and re-open a struggling zoo."
2014-12-07,Pearl,tt0944835,Salt,2010,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor",A CIA agent goes on the run after a defector accuses her of being a Russian spy.
2014-12-12,Pearl,tt1284575,Bad Teacher,2011,"Cameron Diaz, Jason Segel, Justin Timberlake","A lazy, incompetent middle school teacher who hates her job and her students is forced to return to her job to make enough money for a boob job after her rich fiancé dumps her."
2014-12-13,Pearl,tt0454876,Life of Pi,2012,"Suraj Sharma, Irrfan Khan, Adil Hussain","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger."
2014-12-14,Pearl,tt0814255,Percy Jackson & the Lightning Thief,2010,"Logan Lerman, Kevin McKidd, Steve Coogan",A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.
2014-12-19,Pearl,tt1430607,Arthur Christmas,2011,"James McAvoy, Jim Broadbent, Bill Nighy",Santa's clumsy son Arthur gets put on a mission with St. Nick's father to give out a present they misplaced to a young girl in less than 2 hours.
2014-12-21,Pearl,tt1190080,2012,2009,"John Cusack, Thandie Newton, Chiwetel Ejiofor",A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.
2014-12-26,Pearl,tt1922612,Glee The Concert Movie,2011,"Cory Monteith, Dianna Agron, Lea Michele","A concert documentary shot during the Glee Live! In Concert! summer 2011 tour, featuring song performances and Glee fans' life stories and how the show influenced them."
